"indicador","indicador_nombre","freq","unidad","unit_mult","topic","source","last_update","time_period","value","obs_status","obs_note","cober_geo","date"
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1993/01",60.626,"3","","0",1993-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1993/02",64.8,"3","","0",1993-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1993/03",64.608,"3","","0",1993-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1993/04",66.171,"3","","0",1993-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1994/01",63.411,"3","","0",1994-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1994/02",67.925,"3","","0",1994-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1994/03",68.475,"3","","0",1994-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1994/04",69.019,"3","","0",1994-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1995/01",61.983,"3","","0",1995-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1995/02",61.192,"3","","0",1995-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1995/03",60.771,"3","","0",1995-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1995/04",63.285,"3","","0",1995-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1996/01",60.575,"3","","0",1996-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1996/02",61.608,"3","","0",1996-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1996/03",60.462,"3","","0",1996-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1996/04",63.379,"3","","0",1996-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1997/01",63.064,"3","","0",1997-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1997/02",64.631,"3","","0",1997-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1997/03",64.063,"3","","0",1997-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1997/04",65.67,"3","","0",1997-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1998/01",65.44,"3","","0",1998-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1998/02",67.019,"3","","0",1998-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1998/03",67.533,"3","","0",1998-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1998/04",68.094,"3","","0",1998-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1999/01",68.269,"3","","0",1999-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1999/02",69.001,"3","","0",1999-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1999/03",68.703,"3","","0",1999-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1999/04",68.91,"3","","0",1999-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2000/01",70.821,"3","","0",2000-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2000/02",72.896,"3","","0",2000-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2000/03",71.884,"3","","0",2000-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2000/04",71.976,"3","","0",2000-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2001/01",73.499,"3","","0",2001-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2001/02",73.307,"3","","0",2001-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2001/03",70.653,"3","","0",2001-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2001/04",70.085,"3","","0",2001-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2002/01",70.034,"3","","0",2002-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2002/02",72.154,"3","","0",2002-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2002/03",70.137,"3","","0",2002-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2002/04",72.034,"3","","0",2002-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2003/01",72.45,"3","","0",2003-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2003/02",72.444,"3","","0",2003-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2003/03",69.594,"3","","0",2003-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2003/04",72.033,"3","","0",2003-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2004/01",74.538,"3","","0",2004-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2004/02",75.889,"3","","0",2004-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2004/03",73.563,"3","","0",2004-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2004/04",76.879,"3","","0",2004-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2005/01",77.875,"3","","0",2005-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2005/02",77.471,"3","","0",2005-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2005/03",73.919,"3","","0",2005-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2005/04",75.043,"3","","0",2005-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2006/01",76.725,"3","","0",2006-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2006/02",78.789,"3","","0",2006-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2006/03",75.498,"3","","0",2006-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2006/04",78.944,"3","","0",2006-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2007/01",82.018,"3","","0",2007-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2007/02",81.626,"3","","0",2007-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2007/03",78.506,"3","","0",2007-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2007/04",80.627,"3","","0",2007-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2008/01",83.386,"3","","0",2008-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2008/02",81.76,"3","","0",2008-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2008/03",78.127,"3","","0",2008-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2008/04",82.614,"3","","0",2008-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2009/01",82.237,"3","","0",2009-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2009/02",75.221,"3","","0",2009-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2009/03",77.06,"3","","0",2009-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2009/04",79.216,"3","","0",2009-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2010/01",81.952,"3","","0",2010-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2010/02",78.668,"3","","0",2010-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2010/03",77.42,"3","","0",2010-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2010/04",79.027,"3","","0",2010-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2011/01",79.819,"3","","0",2011-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2011/02",80.274,"3","","0",2011-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2011/03",80.537,"3","","0",2011-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2011/04",85.105,"3","","0",2011-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2012/01",83.361,"3","","0",2012-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2012/02",84.836,"3","","0",2012-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2012/03",83.591,"3","","0",2012-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2012/04",85.333,"3","","0",2012-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2013/01",84.277,"3","","0",2013-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2013/02",84.173,"3","","0",2013-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2013/03",84.86,"3","","0",2013-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2013/04",88.579,"3","","0",2013-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2014/01",86.771,"3","","0",2014-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2014/02",85.972,"3","","0",2014-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2014/03",85.55,"3","","0",2014-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2014/04",90.064,"3","","0",2014-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2015/01",88.499,"3","","0",2015-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2015/02",89.361,"3","","0",2015-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2015/03",89.338,"3","","0",2015-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2015/04",94.388,"3","","0",2015-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2016/01",92.337,"3","","0",2016-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2016/02",93.166,"3","","0",2016-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2016/03",91.58,"3","","0",2016-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2016/04",96.398,"3","","0",2016-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2017/01",99.225,"3","","0",2017-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2017/02",96.096,"3","","0",2017-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2017/03",91.004,"3","","0",2017-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2017/04",96.087,"3","","0",2017-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2018/01",101.535,"3","","0",2018-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2018/02",101.811,"3","","0",2018-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2018/03",97.015,"3","","0",2018-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2018/04",99.639,"3","","0",2018-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2019/01",101.398,"3","","0",2019-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2019/02",99.431,"3","","0",2019-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2019/03",97.437,"3","","0",2019-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2019/04",99.237,"3","","0",2019-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2020/01",103.839,"3","","0",2020-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2020/02",54.116,"3","","0",2020-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2020/03",66.471,"3","","0",2020-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2020/04",76.304,"3","","0",2020-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2021/01",75.902,"3","","0",2021-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2021/02",88.179,"3","","0",2021-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2021/03",90.52,"3","","0",2021-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2021/04",96.233,"3","","0",2021-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2022/01",98.039,"3","","0",2022-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2022/02",101.143,"3","","0",2022-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2022/03",98.06,"3","","0",2022-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2022/04",100.175,"3","","0",2022-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2023/01",105.614,"3","","0",2023-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2023/02",104.102,"3","","0",2023-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2023/03",103.045,"3","","0",2023-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2023/04",107.897,"3","","0",2023-10-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2024/01",113.684,"3","","0",2024-01-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2024/02",108.136,"3","","0",2024-04-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2024/03",104.248,"3","","0",2024-07-01
"742205",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2024/04",107.192,"3","","0",2024-10-01
