"date","IND_737121","IND_737145","IND_742203","IND_742204","IND_742205","IND_742210"
2025-04-01,NA,NA,108.808,112.333,107.901,106.662
2025-08-01,105.137196896678,-0.898508973265422,NA,NA,NA,NA
