"indicador","indicador_nombre","freq","unidad","unit_mult","topic","source","last_update","time_period","value","obs_status","obs_note","cober_geo","date"
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1993/01",69.5,"3","","0",1993-01-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1993/02",74.175,"3","","0",1993-04-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1993/03",74.886,"3","","0",1993-07-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1993/04",75.838,"3","","0",1993-10-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1994/01",72.498,"3","","0",1994-01-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1994/02",78.099,"3","","0",1994-04-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1994/03",79.308,"3","","0",1994-07-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1994/04",79.438,"3","","0",1994-10-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1995/01",71.364,"3","","0",1995-01-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1995/02",70.204,"3","","0",1995-04-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1995/03",69.737,"3","","0",1995-07-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1995/04",72.003,"3","","0",1995-10-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1996/01",69.042,"3","","0",1996-01-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1996/02",70.085,"3","","0",1996-04-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1996/03",69.343,"3","","0",1996-07-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1996/04",71.915,"3","","0",1996-10-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1997/01",71.81,"3","","0",1997-01-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1997/02",73.694,"3","","0",1997-04-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1997/03",73.371,"3","","0",1997-07-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1997/04",74.664,"3","","0",1997-10-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1998/01",74.464,"3","","0",1998-01-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1998/02",75.894,"3","","0",1998-04-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1998/03",77.058,"3","","0",1998-07-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1998/04",77.261,"3","","0",1998-10-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1999/01",77.631,"3","","0",1999-01-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1999/02",77.594,"3","","0",1999-04-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1999/03",77.863,"3","","0",1999-07-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","1999/04",77.255,"3","","0",1999-10-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2000/01",80.446,"3","","0",2000-01-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2000/02",82.411,"3","","0",2000-04-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2000/03",81.242,"3","","0",2000-07-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2000/04",81.137,"3","","0",2000-10-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2001/01",83.578,"3","","0",2001-01-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2001/02",82.997,"3","","0",2001-04-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2001/03",80.096,"3","","0",2001-07-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2001/04",78.974,"3","","0",2001-10-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2002/01",79.756,"3","","0",2002-01-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2002/02",81.783,"3","","0",2002-04-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2002/03",79.911,"3","","0",2002-07-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2002/04",80.739,"3","","0",2002-10-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2003/01",82.785,"3","","0",2003-01-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2003/02",82.459,"3","","0",2003-04-01
"742203",,"4","1061","","682665","3272","31/10/2025 12:00:00 a. m.","2003/03",79.634,"3","","0",2003-07-01
